date,year,month,latitude,longitude,nearest_country,country_name,region,attack_type,vessel_type,vessel_status,shore_distance,est_ship_value_musd,est_cargo_value_musd,est_total_exposure_musd,exposure_source,GDP,corruption_index,population,unemployment_rate,coastline_km,coastline_mi,has_active_coast_guard
1993-01-02,1993,1,19.7,116.9667,CHN,China,East Asia & Pacific,Unknown,Unknown,Unknown,357.5,30.0,30.0,0.05,attack_vessel_model_v2,377.0,21.6,1178440000.0,2.69,14500,9009.9,True
1993-01-04,1993,1,22.35,116.0,CHN,China,East Asia & Pacific,Unknown,Unknown,Unknown,47.4,30.0,30.0,0.05,attack_vessel_model_v2,377.0,21.6,1178440000.0,2.69,14500,9009.9,True
1993-01-06,1993,1,19.67,115.25,CHN,China,East Asia & Pacific,Unknown,Unknown,Unknown,280.8,30.0,30.0,0.05,attack_vessel_model_v2,377.0,21.6,1178440000.0,2.69,14500,9009.9,True
1993-01-08,1993,1,29.9,124.5833,CHN,China,East Asia & Pacific,Unknown,Unknown,Unknown,209.9,30.0,30.0,0.05,attack_vessel_model_v2,377.0,21.6,1178440000.0,2.69,14500,9009.9,True
1993-01-12,1993,1,18.1333,120.2667,PHL,Philippines,East Asia & Pacific,Unknown,Unknown,Unknown,22.0,30.0,30.0,0.05,attack_vessel_model_v2,816.0,27.7,66593904.0,3.65,36289,22548.9,True
1993-01-13,1993,1,9.7173,101.85,KHM,Cambodia,East Asia & Pacific,Unknown,Unknown,Unknown,184.8,30.0,30.0,0.05,attack_vessel_model_v2,254.0,23.0,9970733.0,0.82,443,275.3,True
1993-01-25,1993,1,8.5667,106.8667,VNM,Vietnam,East Asia & Pacific,Unknown,Unknown,Unknown,27.4,30.0,30.0,0.05,attack_vessel_model_v2,182.0,27.9,72300308.0,1.91,3444,2140.0,True
1993-01-26,1993,1,29.0,123.5,CHN,China,East Asia & Pacific,Unknown,Unknown,Unknown,141.5,30.0,30.0,0.05,attack_vessel_model_v2,377.0,21.6,1178440000.0,2.69,14500,9009.9,True
1993-01-26,1993,1,-8.8,13.25,AGO,Angola,Sub-Saharan Africa,Unknown,Unknown,Anchored,0.5,35.0,45.0,0.05,attack_vessel_model_v2,441.0,17.0,13075049.0,3.8,1600,994.2,True
1993-01-26,1993,1,4.4333,119.4,PHL,Philippines,East Asia & Pacific,Unknown,Unknown,Unknown,25.4,30.0,30.0,0.05,attack_vessel_model_v2,816.0,27.7,66593904.0,3.65,36289,22548.9,True
1993-01-27,1993,1,-8.8,13.25,AGO,Angola,Sub-Saharan Africa,Unknown,Unknown,Unknown,0.5,35.0,45.0,0.05,attack_vessel_model_v2,441.0,17.0,13075049.0,3.8,1600,994.2,True
1993-02-05,1993,2,5.0017,7.2267,NGA,Nigeria,Sub-Saharan Africa,Unknown,Unknown,Anchored,31.9,35.0,45.0,0.05,attack_vessel_model_v2,270.0,6.9,102700753.0,3.74,853,530.0,True
1993-02-06,1993,2,16.5833,118.1667,PHL,Philippines,East Asia & Pacific,Unknown,Unknown,Unknown,174.7,30.0,30.0,0.05,attack_vessel_model_v2,816.0,27.7,66593904.0,3.65,36289,22548.9,True
1993-02-15,1993,2,38.6974,121.2995,CHN,China,East Asia & Pacific,Unknown,Unknown,Unknown,9.4,30.0,30.0,0.05,attack_vessel_model_v2,377.0,21.6,1178440000.0,2.69,14500,9009.9,True
1993-02-16,1993,2,19.3167,118.7167,PHL,Philippines,East Asia & Pacific,Unknown,Unknown,Unknown,214.9,30.0,30.0,0.05,attack_vessel_model_v2,816.0,27.7,66593904.0,3.65,36289,22548.9,True
1993-02-16,1993,2,-6.775,39.3533,TZA,Tanzania,Sub-Saharan Africa,Unknown,Unknown,Unknown,6.0,35.0,45.0,0.05,attack_vessel_model_v2,157.0,19.0,27887203.0,3.58,1424,884.8,True
1993-02-16,1993,2,17.3333,111.0333,CHN,China,East Asia & Pacific,Unknown,Unknown,Unknown,107.3,30.0,30.0,0.05,attack_vessel_model_v2,377.0,21.6,1178440000.0,2.69,14500,9009.9,True
1993-02-16,1993,2,15.7833,111.2,VNM,Vietnam,East Asia & Pacific,Unknown,Unknown,Unknown,0.5,30.0,30.0,0.05,attack_vessel_model_v2,182.0,27.9,72300308.0,1.91,3444,2140.0,True
1993-02-16,1993,2,-6.775,39.3533,TZA,Tanzania,Sub-Saharan Africa,Unknown,Unknown,Unknown,6.0,35.0,45.0,0.05,attack_vessel_model_v2,157.0,19.0,27887203.0,3.58,1424,884.8,True
1993-02-18,1993,2,19.67,115.25,CHN,China,East Asia & Pacific,Unknown,Unknown,Unknown,280.8,30.0,30.0,0.05,attack_vessel_model_v2,377.0,21.6,1178440000.0,2.69,14500,9009.9,True
1993-02-25,1993,2,8.5167,104.4,VNM,Vietnam,East Asia & Pacific,Unknown,Unknown,Unknown,36.8,30.0,30.0,0.05,attack_vessel_model_v2,182.0,27.9,72300308.0,1.91,3444,2140.0,True
1993-02-25,1993,2,36.2,124.4333,KOR,"Korea, Rep.",East Asia & Pacific,Unknown,Unknown,Unknown,162.3,30.0,30.0,0.05,attack_vessel_model_v2,8885.0,42.9,44194628.0,2.88,2413,1499.4,True
1993-02-28,1993,2,24.7847,67.1457,PAK,Pakistan,South Asia,Unknown,Unknown,Anchored,1.3,35.0,40.0,0.05,attack_vessel_model_v2,442.0,22.5,117086685.0,0.62,1046,650.0,True
